2021-10-21 16:16:24.951 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:16:24.952 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:16:24.953 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:16:24.953 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:16:24.954 [main-42] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserName=chrome
2021-10-21 16:16:24.955 [main-43] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - terminal=pc
2021-10-21 16:16:24.955 [main-44] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - deviceName=desktop
2021-10-21 16:16:24.955 [main-45] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remotePort=4444
2021-10-21 16:16:24.955 [main-46] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remoteIP=
2021-10-21 16:16:24.956 [main-47] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserVersion=
2021-10-21 16:16:24.960 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:16:24.960 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:16:26.733 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:16:26.734 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:16:26.735 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:16:26.878 [main-110] INFO  com.framework.basedriver.BaseDriver.startBrowser - 浏览器：chrome 成功启动！
